x	y	n	trajectory
5	87	3	6400,6614,|16102,16312,16529,16740,16949,17169,17381,17600,17811,18034,18248,18463,18672,18892,19106,19324,19537,19751,19971,20184,20402,20627,20846,21070,21292,21511,21730,|25053,25281,25503,25727,25949,26170,26390,26612,26836,27058,27278,27503,27723,27951,28168,28392,28610,28836,
5	88	4	12952,13165,13373,13582,13793,14003,14212,14424,14630,14841,15047,|23511,23731,23955,24177,24398,24617,|30188,30412,30639,30854,31068,31283,31494,31710,31925,32134,32362,32581,32807,33025,33252,33479,33705,33941,34170,34403,|64499,64730,
6	87	1	7045,7251,7463,7676,7889,8096,8306,8520,8735,8950,9157,9361,9574,9785,
6	88	2	10199,10410,10623,|11049,11263,11475,11692,11905,12112,12324,12534,
6	97	1	22617,22842,23070,23292,23513,23733,23957,24179,24400,24619,24837,25055,25283,25505,25728,25951,26172,26392,26614,26838,27060,27279,27504,27725,27952,28170,28393,28611,28837,29067,29293,29522,29741,29966,30189,30413,30640,30855,31069,31285,31496,31711,31926,32135,32363,32583,32808,33026,33253,33480,33707,33942,34172,34404,34630,34860,35084,35307,35536,35763,35989,36212,36435,36656,36882,37109,37345,37568,37795,38024,38258,38485,38707,38932,39158,39380,39604,39831,40053,40274,40501,40718,40937,41163,41385,41603,41823,42041,42262,42494,42723,42949,43174,43400,43630,43850,44076,44296,44525,44745,44962,45186,45413,45641,45868,46095,46317,46541,46772,46998,47225,47449,47678,47908,48142,48374,48609,48832,49065,
8	111	1	37796,38025,
9	199	2	50198,50425,50656,50886,51118,51347,51575,51797,52032,52256,52486,52718,52947,53181,53413,53639,53863,54097,54323,54552,54776,55008,55241,55472,55704,55934,56169,56402,56636,56870,57105,57331,57561,|58019,58248,58475,
9	297	1	59656,59893,
10	298	2	58249,58476,58714,58953,|60364,60599,60829,61063,61294,61519,
12	158	2	29069,29295,|47680,47910,
17	132	1	64737,64963,65201,
17	187	4	26841,27064,27283,27507,|31929,32139,32367,32587,32811,33029,|33483,33710,33946,34176,34408,34634,34864,35088,35311,35541,35768,35992,36216,36438,36659,36886,37114,37349,37572,37799,38028,38261,38488,38711,38936,39161,39383,39608,39834,40056,40277,40504,40722,40940,41167,41389,41606,41826,42045,42265,42498,42727,42953,43177,43404,43634,43854,44080,44300,44530,44750,44965,45190,45417,45645,45871,46099,46321,46544,46776,47001,47228,47453,47683,47913,48146,48377,48614,48835,49069,49297,49522,49744,49975,50202,50428,50660,50889,51122,51351,51578,51801,52036,52260,52489,52721,52951,53185,53416,53643,53867,54101,54326,54556,54779,55011,55244,|64964,65202,
18	133	1	61066,61297,
18	186	1	27956,28175,28396,
18	187	4	28841,29071,29298,29526,|29970,30193,30417,30644,30858,31072,31289,31500,|58023,58253,58480,58718,58957,59191,59426,59659,59896,60132,60367,60602,|63115,63347,63580,63814,64045,64271,64506,
18	283	4	35089,35313,35542,35769,|49745,49977,|50430,50661,50891,51123,|54558,54781,55013,55246,55476,55708,55938,
18	284	1	32813,33031,
19	283	3	612,817,|1196,1402,1601,|2197, 2400, 2605, 2818, 3030, 3242, 3453, 3662, 3876, 4084, 4287, 4498, 4710, 4918, 5128, 5333, 5541, 5752, 5968, 6190, 6404, 6618, 6829, 7049, 7255, 7467, 7680, 7893, 8100, 8310, 8524, 8741, 8955, 9163, 9366, 9579, 9790, 9996,10204,10415,10628,10843,11054,11268,11480,11698,11910,12117,12329,12540,12746,12957,13170,13379,13587,13799,14008,14217,14429,14636,14846,15052,15261,15470,15677,15892,16107,16317,16534,16745,16955,17174,17386,17605,17816,18039,18253,18468,18677,18897,19112,19330,19543,19756,19976,20189,20408,20634,20852,21076,21299,21516,21735,21961,22181,22404,22622,22847,23075,23297,23518,23738,23961,24183,24404,24623,24842,25060,25287,25510,25732,25955,26176,26397,26619,26843,27065,27284,27509,27729,27957,28176,28398,28616,28842,29073,29299,29527,29745,29971,30194,30418,30645,
20	194	2	47455,47685,47915,48148,|52724,52953,53187,53419,53645,53869,54104,54329,54560,54783,55015,55248,55478,55710,
21	194	2	48616,48838,49071,49300,49524,49747,49979,50204,50432,50663,50893,51125,|51581,51803,52038,52262,
22	14	1	39164,39386,
22	75	1	5542,5753,5969,6192,6406,6620,6831,
22	248	7	20636,20854,|21963,22183,22406,22624,22849,23077,|25062,25289,|27731,27959,28178,28400,|34178,34410,|37802,38031,38264,38492,38714,38939,39165,39387,|40943,41169,41391,41609,41829,42047,42268,42500,42729,42955,43181,43406,43636,43856,44082,44302,44532,44752,44968,45192,45419,45647,45874,46101,46324,46547,46778,47005,47231,
23	14	8	1008,1198,|2402,2607,2820,3032,3244,3455,3665,|4920,5130,|8527,8744,|11483,11701,11913,12120,|12543,12749,12960,|16748,16958,17177,17389,|17819,18042,18256,18471,18680,18900,
23	191	1	63816,64048,64274,
23	246	1	47456,47686,47916,48149,48380,48617,48839,49072,49301,49525,49748,49980,50205,50433,50665,50894,51126,51353,51582,51804,52039,52264,52492,52725,52954,53188,53420,53647,53870,54105,54330,54561,54784,55016,55249,55479,55711,55940,56174,56409,56641,56876,57110,57336,57567,57795,58025,58255,58482,58720,58959,59193,59429,59662,59899,60134,60370,60604,60833,61068,61299,61523,61748,61970,62197,62428,62655,62884,63117,63349,
24	191	8	25063,25290,25512,25734,25957,26178,26400,26621,26845,27068,27286,27511,27732,27960,28179,28401,28618,28844,29075,29301,29529,29747,29973,30196,30420,30647,30861,31075,31291,31502,31717,31932,32142,32369,32589,32815,33033,33258,33487,33713,33949,34179,34411,34639,34866,35091,35316,35544,35771,35995,36220,36441,36662,36889,37116,37351,37575,37803,38032,38265,38493,38715,38940,39166,39388,39611,39837,40059,40280,40507,40724,40945,41170,41392,41610,41830,42048,42269,42501,42730,42956,43182,43407,43637,43857,44083,44303,44533,44753,44969,45193,45420,45648,45875,46102,46325,46548,46779,47006,47232,47457,47687,47917,48150,48381,48618,48840,49073,|51354,51583,|52040,52265,52493,|54562,54785,55017,55250,|55712,55941,56175,56410,56642,56877,57111,57337,57568,57796,58026,58256,58483,58721,|59663,59900,|60371,60605,60834,61069,61300,61525,61749,61969,62198,62429,62654,62885,63118,63350,|64967,65206,65441,
24	192	1	53871,54106,
24	218	1	31503,31718,
25	218	1	42503,42732,
26	163	2	40061,40284,40509,40727,40948,41173,41395,41616,41832,42051,42272,42505,42733,42960,43188,43413,43639,43862,44085,44306,44535,44756,44976,45196,45423,45651,45878,46105,46328,46554,46782,47011,47234,47460,47689,47920,48155,48384,48621,48843,49077,49304,49529,49751,49984,50209,50436,50668,50897,51129,51357,|62887,63120,
26	164	3	51806,52042,|53874,54109,|57113,57339,
26	245	1	63584,63818,64050,64276,
27	141	1	8529,8746,
27	157	1	60607,60838,61071,
27	158	2	59665,59903,|61528,61751,61973,62200,62432,
27	163	2	24407,24627,24845,25065,25292,25514,25736,25959,26180,26402,26623,26848,27071,27290,27513,27736,27962,28181,|28620,28846,29077,29304,29531,29749,29975,30199,30422,30649,30864,31078,31294,31505,31720,31934,32146,32371,32591,32817,33035,33260,33490,33715,33951,34181,34413,34644,34868,35093,35318,35546,
27	245	4	40949,41174,41396,41613,41833,42052,42273,42506,42734,42958,43184,43409,43640,43863,44086,44307,44536,44757,44973,45197,45424,45652,45879,46106,46329,46551,46783,47008,47235,|52043,52268,52495,|54565,54788,55019,55252,55482,55714,55945,56177,56412,56645,56880,57114,57341,57571,57798,58028,58258,58485,58723,|59667,59902,60137,60373,60608,60836,61072,61302,61529,61752,
28	140	1	17822,18045,
28	141	1	6624,6834,
28	158	1	23081,23301,23522,23742,23964,24188,24408,24626,24846,25066,25294,25515,25738,25960,26181,26404,26624,26847,27070,27289,27514,27735,27963,28182,28403,28621,28848,29078,29303,29532,29751,29976,30198,30423,30651,30863,31077,31293,31506,31722,31935,32145,32372,32593,32818,33036,33261,33492,33717,33953,34182,34415,34643,34870,35094,35321,35547,35775,35999,36225,36446,36667,36891,37120,37353,37577,37805,38034,38269,38497,38717,38942,39168,39393,39613,39840,40062,40283,40511,40726,40947,41176,41394,41612,41836,42050,42271,42504,42737,42959,43187,43412,43642,43861,44089,44305,44539,44755,44972,45199,45422,45650,45877,46104,46327,46550,46781,47010,47238,47459,47692,47919,48154,48383,48623,48845,49076,49303,49528,49753,49983,50208,50438,50667,50896,51128,51356,51587,51808,52046,52267,52496,52728,52958,53191,53424,53651,53876,54108,54334,54568,54791,55020,55255,55484,55716,55944,56179,56414,56644,56882,57115,57343,57570,57799,58029,58261,58486,
28	163	1	35776,35997,36222,36443,36664,36892,37118,37354,37580,37806,38035,38270,38495,38718,38943,39169,39390,39614,39841,
29	84	1	1606, 1797, 2002, 2201, 2405, 2610, 2823, 3035, 3248, 3458, 3668, 3880, 4089, 4292, 4503, 4714, 4923, 5133, 5337, 5547, 5757, 5975, 6196, 6410, 6625, 6836, 7054, 7261, 7473, 7686, 7898, 8106, 8315, 8531, 8748, 8960, 9168, 9372, 9584, 9795,10003,10209,10420,10634,10848,11059,11274,11486,11704,11916,12123,12334,12546,12752,12963,13176,13385,13592,13804,14013,14222,14434,14641,14851,15057,15267,15475,15682,15897,16112,16323,16539,16751,16961,17181,17392,17610,17823,18046,18259,18474,18683,18904,19117,19335,19548,19762,19981,20193,20412,20639,20857,21080,21303,21521,21739,21966,22186,22409,22627,22853,23080,23302,23523,23743,23966,24187,24409,24628,24847,25067,25295,25516,25737,25961,26182,26403,26625,26849,27072,27288,27515,27737,27964,28183,28404,28622,28847,29079,29305,29533,29750,29977,30200,30424,30650,30865,31079,31295,31507,31721,31936,32147,32373,32592,32819,33037,33262,33491,33716,33952,34183,34414,34641,34869,35095,35319,35548,35773,36000,36223,36444,36665,36894,37121,37355,37578,37807,38037,38271,38498,38719,38944,39170,39391,39615,39842,40063,40286,40512,40728,40951,41175,41397,41614,41834,42053,42274,42507,42735,42961,43185,43410,43643,43865,44087,44308,44537,44758,44974,45198,45425,45653,45880,46107,46330,46552,46784,47012,47236,47461,47690,47921,48152,48386,48622,48844,49078,49305,49530,49752,49985,50210,50437,50669,50898,51130,51359,51586,51809,52044,52269,52497,52729,52956,53192,53422,53649,53877,54111,54335,54566,54789,55021,55253,55483,55717,55946,56180,56415,56646,56881,57116,57342,57572,57800,58030,58259,58487,58724,58961,59197,59432,59669,59904,60138,60374,60609,
29	107	1	5338,5546,
29	198	4	42509,42738,42963,43189,43414,43644,43867,44090,44310,|45882,46109,|46786,47013,|47693,47923,48156,48387,48624,48846,49079,49307,49532,49754,49987,50211,50439,50671,50901,51132,51360,51588,51810,52047,52271,52499,52730,52959,53193,53425,53652,53878,54113,54336,54569,54792,55023,55256,55485,55718,55947,56181,56416,56648,56883,57118,57344,57574,57802,58032,58262,58489,58726,58963,59199,
29	199	1	44760,44977,45200,45427,
30	206	1	39394,39618,
31	205	1	38722,38947,
31	206	7	23304,23525,23745,23968,24190,24411,24630,24849,25069,25297,25518,25740,25962,26184,26406,26627,26851,27074,27292,27518,27739,27966,28185,28406,28624,28850,29081,|29535,29753,29979,30202,30425,|30867,31081,31297,31509,31724,31938,32149,32375,32594,32821,33039,33264,33494,33719,33955,34185,34417,34646,34872,|35323,35551,35778,36002,36227,36448,36669,36896,37123,37358,37582,37810,|43191,43416,|48389,48626,|50673,50903,
32	21	6	22412,22630,|25964,26186,|28625,28851,29083,29307,29537,29754,29980,30204,30427,30653,30869,31082,31298,31510,31726,31940,32150,32376,32597,32823,33040,33266,33495,33721,33957,34186,34419,34647,34873,35097,35324,35553,35779,36004,36228,36450,36671,36897,37124,37360,37584,37811,38040,38275,38500,38723,38948,39174,39397,39620,39844,40067,40288,40516,40732,40955,41178,41401,41620,41839,42058,42279,42512,42740,42965,43193,43418,43647,43870,44093,44313,44542,44762,44980,45202,45429,45657,45885,46111,46334,46557,|47015,47242,47464,47695,47926,48159,48391,|50674,50905,51135,51364,51591,51814,52050,52273,52502,52732,52962,53195,53428,53655,53882,54116,54339,54572,54795,55026,55258,55488,55721,55950,56184,56418,56651,56885,|57346,57577,57806,58036,58265,
32	103	1	14226,14437,
33	20	2	13595,13807,|17826,18049,18262,18477,18686,
33	21	6	10212,10423,10637,10851,11062,11278,11490,11707,11919,12126,12337,12549,12755,12966,13179,|16754,16964,17184,17395,|20642,20862,21083,21306,|23746,23969,24192,24412,24631,24850,25070,|27293,27519,|58730,58967,59202,59436,59672,59909,60143,
34	27	1	60380,60616,60844,61079,61309,61535,61759,
34	142	3	47466,47697,47928,48161,48392,48628,48850,|51136,51367,|51815,52051,52275,52506,52734,
34	291	1	47467,47698,47932,48163,48395,48629,48851,49083,49313,49535,49760,49991,50215,50444,50677,50906,51137,51369,51592,51816,52054,52276,52503,52735,52963,53197,53429,53656,53883,54117,54340,54573,54798,55027,55260,55489,55722,55952,56185,56421,56652,56887,57125,57348,57578,57809,58037,58267,58493,58731,58968,59204,59437,59674,59911,60146,60381,60617,60845,61080,61310,61536,61760,61980,62208,62440,62664,62897,63128,63359,63594,63828,
34	292	2	26408,26630,26854,|64284,64522,64750,64981,65218,65452,
34	294	1	27076,27295,27521,27741,27968,28187,28408,28627,28853,29084,29309,29538,29756,29982,30205,30429,30655,30870,31084,31300,31512,31727,31941,32152,32378,32598,32824,33042,33267,33497,33722,33958,34188,34420,34649,34875,35099,35326,35554,35781,36005,36230,36451,36672,36899,37126,37361,37585,37813,38042,38276,38502,38726,38950,39175,39398,39621,39846,40068,40290,40517,40733,
35	118	1	62666,62902,
35	159	1	10215,10426,10640,10854,11067,11281,11495,11710,11922,12131,
35	160	1	17399,17616,17829,18053,18266,
36	110	1	40959,41183,
36	111	1	50680,50909,51140,
